rank,word,pos,definition,synonyms,antonyms,usage_where,usage_where_not,example_1,example_2,example_3
64,battle,noun,A sustained fight between opposing forces,combat; fight; struggle; conflict; engagement,,"Use ""battle"" (noun) when you want to convey a sustained fight between opposing forces. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""battle"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the battle effect was statistically significant across all samples.,Conversational: I told him the battle approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: battle)
65,bay,noun,A body of water partly enclosed by land,embayment; bay tree; true laurel; bay laurel; Laurus nobilis; alcove,,"Use ""bay"" (noun) when you want to convey a body of water partly enclosed by land. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bay"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the bay principle shapes contemporary policy decisions.,"Conversational: You know, it's pretty clear that the bay situation needs our immediate attention.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bay)
66,bazooka,noun,A portable shoulder-fired rocket launcher,,,"Use ""bazooka"" (noun) when you want to convey a portable shoulder-fired rocket launcher. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bazooka"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bazooka hypothesis adequately explains the observed data.,Conversational: I told him the bazooka approach just wouldn't work here — we need to rethink this.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bazooka)
67,beam,noun,A long piece of timber or metal,beam of light; ray; light beam; shaft of light; radio beam; ray of light,,"Use ""beam"" (noun) when you want to convey a long piece of timber or metal. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beam"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the beam effect was statistically significant across all samples.,"Conversational: You know, it's pretty clear that the beam situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: beam)
68,bear,verb,To carry or support,endure; tolerate; digest; deliver; support; have,bull,"Use ""bear"" (verb) when you want to convey to carry or support. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bear"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bear phenomenon could not be overlooked.",Conversational: I told him the bear approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bear)
69,beast,noun,"An animal, especially a large or dangerous one",fauna; wildcat; animal; brute; creature; savage,,"Use ""beast"" (noun) when you want to convey an animal, especially a large or dangerous one. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beast"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the beast phenomenon could not be overlooked.","Conversational: Honestly, the beast behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: beast)
70,beat,verb,To strike repeatedly,round; rhythm; heartbeat; pulse; pulsation; musical rhythm,,"Use ""beat"" (verb) when you want to convey to strike repeatedly. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beat"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the beat hypothesis adequately explains the observed data.,Conversational: I told him the beat approach just wouldn't work here — we need to rethink this.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: beat)
71,beaut,noun,A beautiful thing,beauty,,"Use ""beaut"" (noun) when you want to convey a beautiful thing. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beaut"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the beaut factor played a decisive role in the experimental outcome.,Conversational: I told him the beaut approach just wouldn't work here — we need to rethink this.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: beaut)
72,beauteous,adjective,Beautiful in a fairly style; attractive,,,"Use ""beauteous"" (adjective) when you want to convey beautiful in a fairly style; attractive. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beauteous"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the beauteous effect was statistically significant across all samples.,Conversational: I've noticed the beauteous trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: beauteous)
73,beautify,verb,To make beautiful,adorn; embellish; deck; grace; prettify; fancify,uglify,"Use ""beautify"" (verb) when you want to convey to make beautiful. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beautify"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the beautify factor played a decisive role in the experimental outcome.,Conversational: I told him the beautify approach just wouldn't work here — we need to rethink this.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: beautify)"
74,becloak,verb,To cover or conceal,,,"Use ""becloak"" (verb) when you want to convey to cover or conceal. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""becloak"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the becloak factor played a decisive role in the experimental outcome.,Conversational: I told him the becloak approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: becloak)
75,bedevil,verb,"To torment, harass, or irritate",dun; rag; befuddle; confound; torment; fox,,"Use ""bedevil"" (verb) when you want to convey to torment, harass, or irritate. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bedevil"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bedevil phenomenon could not be overlooked.","Conversational: Look, the bedevil results speak for themselves — we can't ignore them any longer.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: bedevil)
76,bedizen,verb,To dress or adorn in a tasteless or cheap way,dizen,,"Use ""bedizen"" (verb) when you want to convey to dress or adorn in a tasteless or cheap way. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bedizen"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bedizen factor played a decisive role in the experimental outcome.,"Conversational: Look, the bedizen results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bedizen)"
77,bee,noun,A flying insect,,,"Use ""bee"" (noun) when you want to convey a flying insect. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bee"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bee phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the bee situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bee)
78,beige,adjective,Of a pale yellowish-brown colour,ecru,,"Use ""beige"" (adjective) when you want to convey of a pale yellowish-brown colour. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beige"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the beige factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the beige behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: beige)
79,belch,verb,To emit (gas or smoke) from the mouth,bubble; burping; eructation; eruct; burp; belching,,"Use ""belch"" (verb) when you want to convey to emit (gas or smoke) from the mouth. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belch"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the belch effect was statistically significant across all samples.,Conversational: I told him the belch approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: belch)
80,belligerent,adjective,Hostile and aggressive,scrapper; war-ridden; battler; warring; fighter; combatant,,"Use ""belligerent"" (adjective) when you want to convey hostile and aggressive. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belligerent"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the belligerent hypothesis adequately explains the observed data.,"Conversational: Look, the belligerent results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: belligerent)
81,belle,noun,An attractive woman,,,"Use ""belle"" (noun) when you want to convey an attractive woman. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belle"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the belle factor played a decisive role in the experimental outcome.,Conversational: I told him the belle approach just wouldn't work here — we need to rethink this.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: belle)
82,belly,noun,The stomach or abdominal region,venter; stomach; abdomen; belly out; paunch,,"Use ""belly"" (noun) when you want to convey the stomach or abdominal region. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belly"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the belly factor played a decisive role in the experimental outcome.,Conversational: I told him the belly approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: belly)
83,belong,verb,To be in a particular place or situation,go; belong to,,"Use ""belong"" (verb) when you want to convey to be in a particular place or situation. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belong"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the belong factor played a decisive role in the experimental outcome.,Conversational: I've noticed the belong trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: belong)
84,below,adverb,Farther down or lower,beneath; to a lower place; on a lower floor; downstairs; infra; at a lower place,upstairs; above,"Use ""below"" (adverb) when you want to convey farther down or lower. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""below"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the below phenomenon could not be overlooked.",Conversational: I've noticed the below trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: below)
85,belt,noun,A belt typically made of leather,knock; swath; smash; belted ammunition; bang; belt ammunition,unbelt,"Use ""belt"" (noun) when you want to convey a belt typically made of leather. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""belt"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the belt phenomenon could not be overlooked.",Conversational: I told him the belt approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: belt)
86,bench,noun,A long seat,judiciary; work bench; workbench; terrace,,"Use ""bench"" (noun) when you want to convey a long seat. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bench"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bench factor played a decisive role in the experimental outcome.,"Conversational: Look, the bench results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bench)"
87,bend,verb,To cause to straighten or curve,turn; fold; crimp; crease; plication; twist,straighten; unbend,"Use ""bend"" (verb) when you want to convey to cause to straighten or curve. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bend"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bend effect was statistically significant across all samples.,"Conversational: Look, the bend results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bend)
88,benefactor,noun,A person who supports or promotes another's career,helper,,"Use ""benefactor"" (noun) when you want to convey a person who supports or promotes another's career. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""benefactor"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the benefactor effect was statistically significant across all samples.,"Conversational: Look, the benefactor results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: benefactor)
89,benefit,noun,An advantage or profit gained from something,profit; welfare; gain; do good,,"Use ""benefit"" (noun) when you want to convey an advantage or profit gained from something. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""benefit"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the benefit factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the benefit behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: benefit)"
90,bet,noun,An act of betting,play; stake; depend; stakes; reckon; calculate,,"Use ""bet"" (noun) when you want to convey an act of betting. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bet"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the bet principle shapes contemporary policy decisions.,"Conversational: Look, the bet results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bet)
91,bewilder,verb,To cause someone to become confused,perplex; stick; mystify; flummox; vex; nonplus,,"Use ""bewilder"" (verb) when you want to convey to cause someone to become confused. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bewilder"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bewilder factor played a decisive role in the experimental outcome.,Conversational: I told him the bewilder approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bewilder)
92,beyond,preposition,At or to a further place or time,,,"Use ""beyond"" (preposition) when you want to convey at or to a further place or time. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""beyond"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the beyond principle shapes contemporary policy decisions.,Conversational: I told him the beyond approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: beyond)
93,bias,noun,Inclination or prejudice for or against,diagonal; prejudice; predetermine; preconception,,"Use ""bias"" (noun) when you want to convey inclination or prejudice for or against. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bias"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bias hypothesis adequately explains the observed data.,Conversational: I've noticed the bias trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bias)
94,bible,noun,A collection of religious sacred writings,Scripture; Book; Holy Writ; Christian Bible; Word of God; Holy Scripture,,"Use ""bible"" (noun) when you want to convey a collection of religious sacred writings. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bible"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the bible principle shapes contemporary policy decisions.,"Conversational: You know, it's pretty clear that the bible situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bible)
95,bid,noun,An offer to pay a price,play; tender; bidding; offer; command; dictation,,"Use ""bid"" (noun) when you want to convey an offer to pay a price. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bid"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bid hypothesis adequately explains the observed data.,"Conversational: Look, the bid results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bid)
96,big,adjective,"Large in size, amount, or extent",heavy; crowing; self-aggrandising; large; bragging; cock-a-hoop,little; small,"Use ""big"" (adjective) when you want to convey large in size, amount, or extent. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""big"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the big hypothesis adequately explains the observed data.,Conversational: I told him the big approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: big)
97,bike,noun,A bicycle,pedal; bicycle; cycle; motorcycle; wheel,,"Use ""bike"" (noun) when you want to convey a bicycle. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bike"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bike hypothesis adequately explains the observed data.,"Conversational: You know, it's pretty clear that the bike situation needs our immediate attention.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bike)
98,billy,noun,A young goat,nightstick; he-goat; baton; billy goat; billy club; billystick,,"Use ""billy"" (noun) when you want to convey a young goat. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""billy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the billy phenomenon could not be overlooked.",Conversational: I've noticed the billy trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: billy)
99,binge,noun,A period of excessive eating or drinking,englut; ingurgitate; gourmandize; overgorge; gorge; orgy,,"Use ""binge"" (noun) when you want to convey a period of excessive eating or drinking. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""binge"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the binge effect was statistically significant across all samples.,"Conversational: Look, the binge results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: binge)
100,biography,noun,A written account of someone's life,life story; life history; life,,"Use ""biography"" (noun) when you want to convey a written account of someone's life. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""biography"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the biography hypothesis adequately explains the observed data.,Conversational: I told him the biography approach just wouldn't work here — we need to rethink this.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: biography)
101,biopsy,noun,An examination of tissue from the living body,,,"Use ""biopsy"" (noun) when you want to convey an examination of tissue from the living body. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""biopsy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the biopsy hypothesis adequately explains the observed data.,"Conversational: You know, it's pretty clear that the biopsy situation needs our immediate attention.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: biopsy)
102,bird,noun,A warm-blooded vertebrate animal of the class Aves,wench; doll; chick; dame; skirt; fowl,,"Use ""bird"" (noun) when you want to convey a warm-blooded vertebrate animal of the class aves. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bird"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bird phenomenon could not be overlooked.","Conversational: Look, the bird results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bird)
103,birth,noun,The action or fact of giving birth to young,nascency; parturition; nascence; giving birth; nativity; birthing,death,"Use ""birth"" (noun) when you want to convey the action or fact of giving birth to young. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""birth"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the birth hypothesis adequately explains the observed data.,Conversational: I've noticed the birth trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: birth)
104,birthday,noun,The anniversary of the day on which someone was born,natal day,,"Use ""birthday"" (noun) when you want to convey the anniversary of the day on which someone was born. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""birthday"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the birthday principle shapes contemporary policy decisions.,Conversational: I told him the birthday approach just wouldn't work here — we need to rethink this.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: birthday)
105,bite,verb,"To use the teeth to cut, grip, or tear something",snack; collation; insect bite; morsel; bit; sting,,"Use ""bite"" (verb) when you want to convey to use the teeth to cut, grip, or tear something. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bite"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bite effect was statistically significant across all samples.,"Conversational: Honestly, the bite behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bite)"
106,bitter,adjective,Having a sharp pungent taste or smell,blistering; acrid; virulent; bitterness; sulfurous; sulphurous,,"Use ""bitter"" (adjective) when you want to convey having a sharp pungent taste or smell. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bitter"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bitter effect was statistically significant across all samples.,"Conversational: Honestly, the bitter behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bitter)"
107,bland,adjective,Lacking strong flavors; boring,savourless; flat; vapid; insipid; savorless; flavourless,,"Use ""bland"" (adjective) when you want to convey lacking strong flavors; boring. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bland"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the bland principle shapes contemporary policy decisions.,"Conversational: You know, it's pretty clear that the bland situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bland)
108,blank,adjective,Containing a gap in writing,dummy; white; blank shell; lacuna; space; clean,,"Use ""blank"" (adjective) when you want to convey containing a gap in writing. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""blank"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the blank factor played a decisive role in the experimental outcome.,Conversational: I've noticed the blank trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: blank)
109,blast,noun,An explosion,clap; bam; blow; eruption; bang; gust,,"Use ""blast"" (noun) when you want to convey an explosion. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""blast"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the blast phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the blast situation needs our immediate attention.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: blast)
110,bleak,adjective,Bitterly cold and damp,barren; dim; bare; desolate; stark; black,,"Use ""bleak"" (adjective) when you want to convey bitterly cold and damp. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bleak"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bleak effect was statistically significant across all samples.,Conversational: I've noticed the bleak trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: bleak)
111,blend,verb,To mix or merge things together,immingle; portmanteau; portmanteau word; blending; intermingle; intermix,,"Use ""blend"" (verb) when you want to convey to mix or merge things together. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""blend"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the blend effect was statistically significant across all samples.,"Conversational: Honestly, the blend behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: blend)
112,blithe,adjective,Showing a casual and cheerful lack of concern,light-hearted; lightsome; lighthearted; blithesome,,"Use ""blithe"" (adjective) when you want to convey showing a casual and cheerful lack of concern. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""blithe"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the blithe effect was statistically significant across all samples.,"Conversational: Honestly, the blithe behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: blithe)
113,bloat,verb,To cause to swell up,,,"Use ""bloat"" (verb) when you want to convey to cause to swell up. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bloat"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bloat effect was statistically significant across all samples.,"Conversational: Look, the bloat results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bloat)
114,block,noun,A solid piece of material,cube; pulley block; city block; pulley; mental block; pulley-block,unfreeze; unblock; free; unstuff; remember,"Use ""block"" (noun) when you want to convey a solid piece of material. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""block"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the block principle shapes contemporary policy decisions.,Conversational: I've noticed the block trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: block)
